,State,Foreign-Born Percentage
3,Alabama,3.341291126545688
4,Alaska,7.7466851450562615
5,Arizona,13.403282872579043
6,Arkansas,4.881139415858585
7,California,26.821199611851693
8,Colorado,9.796115011612546
9,Connecticut,14.611557478800838
10,Delaware,9.3440560149136
11,District of Columbia,14.096561345566618
12,Florida,20.99686257663095
14,Georgia,10.118831975930357
15,Hawaii,18.623560444944744
16,Idaho,6.043012003137598
17,Illinois,14.175799853701571
18,Indiana,5.361738513463635
19,Iowa,5.738329512744186
20,Kansas,7.131900628883295
21,Kentucky,3.794734672484705
22,Louisiana,4.106650288906943
23,Maine,3.697463546134052
25,Maryland,15.038514125597125
26,Massachusetts,17.321919383060205
27,Michigan,6.995037472807642
28,Minnesota,8.580086288460945
29,Mississippi,2.455458341285706
30,Missouri,4.284502677895787
31,Montana,2.2326921176121735
32,Nebraska,7.162042805872486
33,Nevada,19.49425123715064
34,New Hampshire,6.086065422696677
36,New Jersey,22.888560613884238
37,New Mexico,9.425663873919792
38,New York,22.80687920183435
39,North Carolina,7.881480639699835
40,North Dakota,4.749913495606366
41,Ohio,4.730106022169407
42,Oklahoma,5.9497159453310475
43,Oregon,10.202082557311847
44,Pennsylvania,7.276884780738124
45,Rhode Island,13.708308309255045
47,South Carolina,5.0324273960898305
48,South Dakota,3.3488809670892676
49,Tennessee,5.250376291910943
50,Texas,17.191184051060134
51,Utah,8.404213083715979
52,Vermont,4.802658155290045
53,Virginia,12.515724636447578
54,Washington,14.72407406399843
55,West Virginia,1.4650310770880126
56,Wisconsin,5.055363590827526
57,Wyoming,3.1164699508599933
